t,r,y,ym,u,t1,t2,t3,ypb
28.152,0.2139692,5.825738,0,3,0,0,0,0
28.252,0.2146788,5.826461,0,3,0,0,0,0
28.352,0.2153879,5.824291,0,3,0,0,0,0
28.452,0.2160964,5.820674,0,3,0,0,0,0
28.552,0.2168044,5.819951,0,3,0,0,0,0
28.652,0.2175119,5.823929,0,3,0,0,0,0
28.752,0.2182188,5.825376,0,3,0,0,0,0
28.852,0.2189251,5.83261,0,3,0,0,0,0
28.951,0.2196239,5.830801,0,3,0,0,0,0
29.051,0.2203292,5.833695,0,3,0,0,0,0
29.151,0.221034,5.815249,0,3,0,0,0,0
29.252,0.2217453,5.810908,0,3,0,0,0,0
29.352,0.2224489,5.823929,0,3,0,0,0,0
29.452,0.223152,5.831886,0,3,0,0,0,0
29.552,0.2238546,5.831163,0,3,0,0,0,0
29.652,0.2245566,5.835142,0,3,0,0,0,0
29.752,0.2252581,5.840567,0,3,0,0,0,0
29.852,0.225959,5.832972,0,3,0,0,0,0
29.952,0.2266593,5.832972,0,3,0,0,0,0
30.052,0.2273591,5.824291,0,3,0,0,0,0
30.152,0.2280583,5.834418,0,3,0,0,0,0
30.252,0.228757,5.831886,0,3,0,0,0,0
30.352,0.2294551,5.832248,0,3,0,0,0,0
30.452,0.2301526,5.830078,0,3,0,0,0,0
30.552,0.2308496,5.840567,0,3,0,0,0,0
30.652,0.231546,5.842737,0,3,0,0,0,0
30.751,0.2322348,5.834418,0,3,0,0,0,0
30.852,0.232937,5.843099,0,3,0,0,0,0
30.952,0.2336317,5.828993,0,3,0,0,0,0
31.051,0.2343189,5.837674,0,3,0,0,0,0
31.152,0.2350193,5.844907,0,3,0,0,0,0
31.252,0.2357122,5.850694,0,3,0,0,0,0
31.352,0.2364046,5.861183,0,3,0,0,0,0
31.452,0.2370964,5.847801,0,3,0,0,0,0
31.552,0.2377876,5.844184,0,3,0,0,0,0
31.652,0.2384782,5.848524,0,3,0,0,0,0
31.752,0.2391682,5.834418,0,3,0,0,0,0
31.852,0.2398576,5.852503,0,3,0,0,0,0
31.952,0.2405464,5.854311,0,3,0,0,0,0
32.052,0.2412347,5.853588,0,3,0,0,0,0
32.152,0.2419223,5.840929,0,3,0,0,0,0
32.252,0.2426094,5.837674,0,3,0,0,0,0
32.352,0.2432958,5.835142,0,3,0,0,0,0
32.452,0.2439816,5.844546,0,3,0,0,0,0
32.552,0.2446669,5.840929,0,3,0,0,0,0
32.652,0.2453515,5.848163,0,3,0,0,0,0
32.752,0.2460356,5.84129,0,3,0,0,0,0
32.851,0.2467122,5.847801,0,3,0,0,0,0
32.951,0.247395,5.844184,0,3,0,0,0,0
33.052,0.248084,5.851779,0,3,0,0,0,0
33.151,0.2487588,5.851056,0,3,0,0,0,0
33.251,0.2494398,5.837674,0,3,0,0,0,0
33.351,0.2501202,5.851418,0,3,0,0,0,0
33.452,0.2508067,5.857928,0,3,0,0,0,0
33.552,0.2514859,5.863353,0,3,0,0,0,0
33.652,0.2521644,5.859013,0,3,0,0,0,0
33.752,0.2528422,5.86263,0,3,0,0,0,0
33.852,0.2535195,5.851418,0,3,0,0,0,0
33.952,0.2541962,5.859375,0,3,0,0,0,0
34.052,0.2548722,5.844907,0,3,0,0,0,0
34.152,0.2555476,5.854311,0,3,0,0,0,0
34.252,0.2562223,5.860098,0,3,0,0,0,0
34.352,0.2568964,5.858652,0,3,0,0,0,0
34.452,0.2575699,5.855758,0,3,0,0,0,0
34.552,0.2582428,5.856482,0,3,0,0,0,0
34.651,0.2589083,5.864439,0,3,0,0,0,0
34.751,0.2595799,5.859375,0,3,0,0,0,0
34.852,0.2602575,5.85612,0,3,0,0,0,0
