t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
13.500205,0.000000,6.341200,2.256323,3.084453,0.000000,0.000000,-10.035616,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
13.600209,0.000000,6.341200,2.279119,3.064635,0.000000,0.000000,-9.923132,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
13.700212,0.000000,6.341200,2.301867,3.034901,0.000000,0.000000,-9.768191,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
13.800216,0.000000,6.341200,2.324567,3.054724,0.000000,0.000000,-9.807997,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
13.900217,0.000000,6.341200,2.347217,3.044813,0.000000,0.000000,-9.728865,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.000221,0.000000,6.341200,2.369815,3.044813,0.000000,0.000000,-9.687306,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
14.100220,0.000000,6.341200,2.392361,3.054724,0.000000,0.000000,-9.684020,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.200221,0.000000,6.341200,2.414852,3.034901,0.000000,0.000000,-9.561127,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.300220,0.000000,6.341200,2.437289,3.034901,0.000000,0.000000,-9.514785,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.400220,0.000000,6.341200,2.459669,3.034901,0.000000,0.000000,-9.467097,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.500221,0.000000,6.341200,2.481992,3.034901,0.000000,0.000000,-9.418070,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.600220,0.000000,6.341200,2.504257,3.024988,0.000000,0.000000,-9.328063,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.700221,0.000000,6.341200,2.526463,3.034901,0.000000,0.000000,-9.315344,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
14.800225,0.000000,6.341200,2.548608,3.044813,0.000000,0.000000,-9.302000,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
