t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
20.500368,0.100000,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
20.600372,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
20.700372,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
20.800371,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
20.900371,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
21.000371,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
21.100372,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
21.200372,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
21.300376,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
21.400379,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
21.500379,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
21.600379,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
21.700384,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
21.800388,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
21.900388,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
22.000392,0.100004,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
22.100395,0.100004,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
22.200399,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
22.300403,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
22.400403,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
22.500404,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
22.600408,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
22.700408,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
22.800407,0.100000,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
22.900411,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
23.000415,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
23.100416,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
23.200420,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
23.300424,0.100004,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
23.400428,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
23.500427,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
23.600427,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
23.700431,0.100004,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
23.800432,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
23.900436,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
24.000436,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
24.100435,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
24.200439,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
24.300439,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
24.400440,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
24.500440,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
24.600439,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
24.700439,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
