time,r,snimac1,ym,spir,theta1,theta2,theta3,y0
21.5,0.165668944231286,6.46484375,0,3,0,0,0,0
21.6,0.166409772261493,6.5087890625,0,3,0,0,0,0
21.7,0.16715018969213,6.46484375,0,3,0,0,0,0
21.8,0.16789019469629,6.46484375,0,3,0,0,0,0
21.9,0.168629785448084,6.4208984375,0,3,0,0,0,0
22,0.169368960122646,6.46484375,0,3,0,0,0,0
22.1,0.170107716896134,6.4990234375,0,3,0,0,0,0
22.2,0.170846053945742,6.474609375,0,3,0,0,0,0
22.3,0.171583969449694,6.4501953125,0,3,0,0,0,0
22.4,0.172321461587259,6.4501953125,0,3,0,0,0,0
22.5,0.173058528538747,6.46484375,0,3,0,0,0,0
22.6,0.173795168485519,6.4306640625,0,3,0,0,0,0
22.7,0.174531379609989,6.474609375,0,3,0,0,0,0
22.8,0.17526716009563,6.4599609375,0,3,0,0,0,0
22.9,0.176002508126976,6.4208984375,0,3,0,0,0,0
23,0.176737421889629,6.42578125,0,3,0,0,0,0
23.1,0.177471899570262,6.455078125,0,3,0,0,0,0
23.2,0.178205939356625,6.4501953125,0,3,0,0,0,0
23.3,0.178939539437548,6.4892578125,0,3,0,0,0,0
23.4,0.179672698002945,6.4208984375,0,3,0,0,0,0
23.5,0.180405413243821,6.4453125,0,3,0,0,0,0
23.6,0.181137683352273,6.4599609375,0,3,0,0,0,0
23.7,0.181869506521498,6.4404296875,0,3,0,0,0,0
23.8,0.182600880945794,6.4794921875,0,3,0,0,0,0
23.9,0.183331804820568,6.4599609375,0,3,0,0,0,0
24,0.184062276342339,6.4208984375,0,3,0,0,0,0
24.1,0.18479229370874,6.40625,0,3,0,0,0,0
24.2,0.185521855118526,6.42578125,0,3,0,0,0,0
24.3,0.186250958771576,6.4501953125,0,3,0,0,0,0
24.4,0.1869796028689,6.40625,0,3,0,0,0,0
24.5,0.187707785612642,6.4013671875,0,3,0,0,0,0
24.6,0.188435505206081,6.40625,0,3,0,0,0,0
24.7,0.189162759853644,6.435546875,0,3,0,0,0,0
24.8,0.189889547760901,6.4453125,0,3,0,0,0,0
24.9,0.190615867134575,6.4697265625,0,3,0,0,0,0
25,0.191341716182545,6.4306640625,0,3,0,0,0,0
25.1,0.192067093113851,6.4501953125,0,3,0,0,0,0
25.2,0.192791996138698,6.416015625,0,3,0,0,0,0
25.3,0.19351642346846,6.4501953125,0,3,0,0,0,0
25.4,0.194240373315683,6.4404296875,0,3,0,0,0,0
25.5,0.194963843894094,6.4208984375,0,3,0,0,0,0
25.6,0.195686833418601,6.435546875,0,3,0,0,0,0
25.7,0.1964093401053,6.416015625,0,3,0,0,0,0
25.8,0.197131362171476,6.46484375,0,3,0,0,0,0
25.9,0.197852897835612,6.4599609375,0,3,0,0,0,0
26,0.19857394531739,6.455078125,0,3,0,0,0,0
26.1,0.199294502837699,6.4111328125,0,3,0,0,0,0
26.2,0.200014568618632,6.416015625,0,3,0,0,0,0
26.3,0.200734140883501,6.396484375,0,3,0,0,0,0
26.4,0.201453217856831,6.4501953125,0,3,0,0,0,0
26.5,0.202171797764372,6.4697265625,0,3,0,0,0,0
26.6,0.2028898788331,6.3916015625,0,3,0,0,0,0
26.7,0.20360745929122,6.416015625,0,3,0,0,0,0
26.8,0.204324537368175,6.4013671875,0,3,0,0,0,0
26.9,0.205041111294644,6.4111328125,0,3,0,0,0,0
27,0.205757179302554,6.4453125,0,3,0,0,0,0
27.1,0.206472739625078,6.4501953125,0,3,0,0,0,0
27.2,0.207187790496642,6.435546875,0,3,0,0,0,0
27.3,0.207902330152929,6.435546875,0,3,0,0,0,0
27.4,0.208616356830883,6.3916015625,0,3,0,0,0,0
27.5,0.209329868768714,6.4306640625,0,3,0,0,0,0
27.6,0.210042864205903,6.4404296875,0,3,0,0,0,0
27.7,0.210755341383205,6.4111328125,0,3,0,0,0,0
27.8,0.211467298542652,6.4306640625,0,3,0,0,0,0
27.9,0.212178733927561,6.3818359375,0,3,0,0,0,0
28,0.212889645782536,6.4599609375,0,3,0,0,0,0
28.1,0.213600032353474,6.435546875,0,3,0,0,0,0
28.2,0.214309891887564,6.4453125,0,3,0,0,0,0
28.3,0.215019222633301,6.416015625,0,3,0,0,0,0
28.4,0.21572802284048,6.435546875,0,3,0,0,0,0
28.5,0.216436290760207,6.4306640625,0,3,0,0,0,0
28.6,0.217144024644902,6.4501953125,0,3,0,0,0,0
28.7,0.217851222748303,6.42578125,0,3,0,0,0,0
28.8,0.218557883325466,6.396484375,0,3,0,0,0,0
28.9,0.21926400463278,6.42578125,0,3,0,0,0,0
29,0.219969584927958,6.3916015625,0,3,0,0,0,0
29.1,0.220674622470051,6.4306640625,0,3,0,0,0,0
29.2,0.221379115519451,6.4599609375,0,3,0,0,0,0
29.3,0.222083062337889,6.435546875,0,3,0,0,0,0
29.4,0.222786461188448,6.3916015625,0,3,0,0,0,0
29.5,0.223489310335561,6.42578125,0,3,0,0,0,0
