t,r,y_raw,y_avg,ym,e,e_ad,u,theta1,theta2,theta3,y_pb,Ts,vent
14.800272,0.115197,5.180425,5.174304,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
14.900277,0.115961,5.200011,5.180425,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.000281,0.116725,5.219596,5.190218,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.100280,0.117488,5.219596,5.197563,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.200284,0.118252,5.209804,5.198787,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.300289,0.119015,5.190218,5.197563,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.400288,0.119777,5.219596,5.202459,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.500292,0.120540,5.248972,5.211027,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.600293,0.121302,5.248972,5.219595,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.700297,0.122064,5.258763,5.226940,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
15.800296,0.122825,5.229388,5.228164,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
15.900300,0.123586,5.229388,5.229388,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.000299,0.124347,5.248972,5.234283,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.100303,0.125108,5.268555,5.244076,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.200304,0.125868,5.258763,5.248972,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.300304,0.126628,5.248972,5.248972,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.400308,0.127388,5.278346,5.252644,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.500312,0.128147,5.248972,5.251420,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
16.600320,0.128906,5.288137,5.258763,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100008,6.000000
16.700319,0.129665,5.278346,5.264883,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.800319,0.130423,5.268555,5.267331,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
16.900323,0.131181,5.258763,5.266107,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.000328,0.131939,5.258763,5.266107,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.100332,0.132696,5.268555,5.268555,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.200336,0.133454,5.307718,5.272226,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.300336,0.134210,5.297927,5.278346,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.400335,0.134967,5.297927,5.279570,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.500339,0.135723,5.268555,5.278346,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.600339,0.136479,5.278346,5.279570,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
17.700344,0.137234,5.317508,5.286912,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.800348,0.137989,5.317508,5.294256,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
17.900352,0.138744,5.327298,5.301599,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.000356,0.139498,5.278346,5.297927,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.100355,0.140252,5.278346,5.295479,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.200355,0.141006,5.288137,5.294256,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.300355,0.141759,5.327298,5.301599,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.400356,0.142512,5.317508,5.306494,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.500356,0.143265,5.317508,5.306494,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.600360,0.144017,5.317508,5.306494,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.700363,0.144769,5.317508,5.305270,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
18.800363,0.145521,5.297927,5.307718,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
18.900363,0.146272,5.337088,5.315061,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.000368,0.147023,5.346878,5.322403,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.100372,0.147773,5.337088,5.323627,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.200372,0.148524,5.327298,5.324851,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.300371,0.149273,5.317508,5.324851,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.400375,0.150023,5.337088,5.327298,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
19.500375,0.150772,5.366456,5.333416,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
19.600376,0.151520,5.346878,5.339535,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
