t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
21.046,0,6.3412,3.775261,3.53805,0,0,-10.39992,0,0,1,1.48,2.77,6
21.146,0,6.3412,3.792424,3.539496,0,0,-10.32045,0,0,1,1.48,2.77,6
21.246,0,6.3412,3.809501,3.540943,0,0,-10.24022,0,0,1,1.48,2.77,6
21.346,0,6.3412,3.826491,3.539858,0,0,-10.14912,0,0,1,1.48,2.77,6
21.445,0,6.3412,3.843395,3.536241,0,0,-10.04698,0,0,1,1.48,2.77,6
21.546,0,6.3412,3.860212,3.531539,0,0,-9.939403,0,0,1,1.48,2.77,6
21.646,0,6.3412,3.876942,3.538411,0,0,-9.876962,0,0,1,1.48,2.77,6
21.745,0,6.3412,3.893586,3.534795,0,0,-9.772222,0,0,1,1.48,2.77,6
21.845,0,6.3412,3.910143,3.536241,0,0,-9.686664,0,0,1,1.48,2.77,6
21.946,0,6.3412,3.926614,3.534071,0,0,-9.585927,0,0,1,1.48,2.77,6
22.045,0,6.3412,3.942999,3.535156,0,0,-9.497251,0,0,1,1.48,2.77,6
22.146,0,6.3412,3.959297,3.530092,0,0,-9.383252,0,0,1,1.48,2.77,6
22.246,0,6.3412,3.97551,3.529007,0,0,-9.284019,0,0,1,1.48,2.77,6
22.346,0,6.3412,3.991636,3.530454,0,0,-9.194048,0,0,1,1.48,2.77,6
22.446,0,6.3412,4.007676,3.53588,0,0,-9.119305,0,0,1,1.48,2.77,6
22.546,0,6.3412,4.023631,3.535156,0,0,-9.019567,0,0,1,1.48,2.77,6
22.646,0,6.3412,4.039499,3.53805,0,0,-8.933474,0,0,1,1.48,2.77,6
22.745,0,6.3412,4.055283,3.529369,0,0,-8.800517,0,0,1,1.48,2.77,6
22.846,0,6.3412,4.07098,3.523221,0,0,-8.676318,0,0,1,1.48,2.77,6
22.946,0,6.3412,4.086592,3.527561,0,0,-8.592888,0,0,1,1.48,2.77,6
23.046,0,6.3412,4.102119,3.529007,0,0,-8.497433,0,0,1,1.48,2.77,6
23.146,0,6.3412,4.117561,3.526837,0,0,-8.386868,0,0,1,1.48,2.77,6
23.246,0,6.3412,4.132918,3.527561,0,0,-8.286982,0,0,1,1.48,2.77,6
23.345,0,6.3412,4.14819,3.526837,0,0,-8.180625,0,0,1,1.48,2.77,6
23.445,0,6.3412,4.163378,3.527922,0,0,-8.080719,0,0,1,1.48,2.77,6
