t,r,y,ym,u,theta1,theta2,theta3
1366.2,5.25316740367657,5.33540049590829,5.35391695103441,7.8134642805553,0.270464551314938,0.0227971898919948,1.21270447932182
1366.3,5.25248981374398,5.33490809713674,5.35341363930413,7.81265670032229,0.270478535550512,0.0227971734989369,1.21271835830064
1366.4,5.25181160081788,5.33441486022038,5.35290945556083,7.81184800771022,0.270492510779703,0.0227971570608956,1.2127322277957
1366.5,5.25113276657169,5.33392078642301,5.35240440104853,7.81103820478029,0.270506476975288,0.0227971405777263,1.2127460877809
1366.6,5.25045331268035,5.3334258770107,5.3518984770134,7.81022729359635,0.270520434110026,0.0227971240498443,1.21275993823013
1366.7,5.24977324082037,5.33293013325127,5.35139168470376,7.80941527622491,0.270534382156688,0.022797107477109,1.21277377911731
1366.8,5.24909255266974,5.33243355641372,5.35088402537007,7.80860215473476,0.270548321088025,0.0227970908599334,1.21278761041632
1366.9,5.24841124990801,5.3319361477674,5.35037550026493,7.8077879311969,0.270562250876798,0.0227970741981806,1.21280143210106
1367,5.2477293342162,5.33143790858117,5.34986611064306,7.80697260768411,0.270576171495755,0.0227970574922615,1.21281524414544
1367.1,5.24704680727689,5.33093884012249,5.34935585776136,7.8061561862709,0.270590082917655,0.022797040742043,1.21282904652336
1367.2,5.24636367077414,5.33043894365655,5.3488447428788,7.80533866903314,0.270603985115249,0.0227970239479335,1.21284283920872
1367.3,5.24567992639353,5.32993822044558,5.34833276725651,7.8045200580481,0.270617878061305,0.0227970071098039,1.21285662217546
1367.4,5.24499557582212,5.32943667174852,5.34781993215775,7.80370035539433,0.27063176172859,0.0227969902280602,1.2128703953975
1367.5,5.24431062074848,5.32893429882115,5.34730623884788,7.80287956315196,0.270645636089897,0.0227969733025771,1.2128841588488
1367.6,5.24362506286267,5.32843110291674,5.34679168859439,7.80205768340293,0.270659501118025,0.0227969563337583,1.21289791250334
1367.7,5.24293890385623,5.32792708528732,5.34627628266689,7.8012347182316,0.270673356785807,0.022796939321482,1.2129116563351
1367.8,5.2422521454222,5.32742224718534,5.34576002233708,7.80041066972525,0.270687203066088,0.0227969222661498,1.21292539031813
1367.9,5.24156478925508,5.32691658986561,5.34524290887878,7.7995855399747,0.27070103993175,0.0227969051676435,1.21293911442647
1368,5.24087683705086,5.32641011458723,5.34472494356793,7.79875933107479,0.270714867355691,0.0227968880263624,1.21295282863422
1368.1,5.24018829050698,5.32590282261512,5.34420612768254,7.79793204512476,0.270728685310841,0.0227968708421918,1.21296653291548
1368.2,5.23949915132238,5.32539471891844,5.34368646250276,7.7971036860722,0.270742493770143,0.0227968536155289,1.21298022724439
1368.3,5.23880942119743,5.32488579630083,5.34316594931079,7.79627425092627,0.270756292703777,0.022796836346266,1.21299391159235
1368.4,5.23811910183397,5.32437606096058,5.34264458939095,7.79544374621898,0.27077008208832,0.0227968190347957,1.21300758593711
1368.5,5.2374281949353,5.32386551414821,5.34212238402965,7.79461217292462,0.270783861896665,0.0227968016810057,1.21302125025275
1368.6,5.23673670220616,5.32335415716444,5.34159933451538,7.793779533173,0.270797632101731,0.0227967842852937,1.2130349045134
1368.7,5.23604462535274,5.3228419913096,5.34107544213871,7.79294582908447,0.27081139267645,0.0227967668475512,1.21304854869321
1368.8,5.23535196608266,5.32232901788613,5.34055070819229,7.79211106278266,0.270825143593749,0.0227967493681735,1.21306218276631
1368.9,5.23465872610502,5.32181523819856,5.34002513397085,7.79127523639404,0.270838884826568,0.0227967318470557,1.21307580670686
1369,5.23396490713029,5.32130065355352,5.33949872077119,7.7904383520477,0.27085261634784,0.0227967142845911,1.21308942048902
1369.1,5.2332705108704,5.3207852652597,5.33897146989219,7.78960041187555,0.270866338130514,0.0227966966806782,1.21310302408695
1369.2,5.23257553903873,5.3202690746279,5.33844338263478,7.78876141801218,0.270880050147531,0.0227966790357084,1.21311661747482
1369.3,5.23187999335003,5.31975208297097,5.33791446030197,7.78792137259493,0.270893752371849,0.0227966613495836,1.21313020062683
1369.4,5.23118387552049,5.31923429160385,5.33738470419882,7.78708027776382,0.270907444776418,0.022796643622693,1.21314377351715
1369.5,5.23048718726773,5.31871570184353,5.33685411563245,7.78623813566163,0.270921127334201,0.022796625854942,1.21315733611999
1369.6,5.22978993031074,5.31819631500909,5.33632269591204,7.78539494843378,0.270934800018157,0.022796608046718,1.21317088840955
1369.7,5.22909210636995,5.31767613242165,5.33579044634881,7.78455071822845,0.270948462801259,0.0227965901979297,1.21318443036004
1369.8,5.22839371716715,5.3171551554044,5.33525736825603,7.78370544719647,0.270962115656474,0.0227965723089623,1.21319796194569
1369.9,5.22769476442556,5.31663338528259,5.33472346294902,7.7828591374914,0.270975758556782,0.0227965543797282,1.21321148314072
1370,5.22699524986977,5.31611082338351,5.33418873174514,7.78201179126942,0.27098939147516,0.0227965364106104,1.21322499391936
1370.1,5.22629517522577,5.31558747103651,5.33365317596379,7.78116341068945,0.271003014384595,0.0227965184015248,1.21323849425588
1370.2,5.22559454222092,5.31506332957297,5.33311679692639,7.78031399791304,0.271016627258073,0.0227965003528524,1.2132519841245
1370.3,5.22489335258396,5.31453840032633,5.33257959595641,7.77946355510442,0.271030230068591,0.0227964822645124,1.2132654634995
1370.4,5.22419160804501,5.31401268463205,5.33204157437933,7.77861208443046,0.27104382278914,0.0227964641368839,1.21327893235514
1370.5,5.22348931033556,5.31348618382764,5.33150273352268,7.77775958806074,0.271057405392729,0.0227964459698894,1.21329239066569
1370.6,5.22278646118845,5.31295889925262,5.33096307471599,7.77690606816738,0.271070977852357,0.0227964277639061,1.21330583840544
1370.7,5.22208306233789,5.31243083224857,5.33042259929081,7.77605152692528,0.27108454014104,0.0227964095188597,1.21331927554869
1370.8,5.22137911551945,5.31190198415905,5.32988130858071,7.77519596651184,0.271098092231788,0.0227963912351256,1.21333270206972
1370.9,5.22067462247005,5.31137235632969,5.32933920392128,7.7743393891072,0.271111634097625,0.0227963729126326,1.21334611794284
1371,5.21996958492796,5.3108419501081,5.3287962866501,7.77348179689406,0.271125165711569,0.0227963545517545,1.21335952314237
1371.1,5.21926400463278,5.31031076684391,5.32825255810677,7.77262319205776,0.271138687046654,0.0227963361524232,1.21337291764264
1371.2,5.21855788332547,5.30977880788876,5.32770801963288,7.77176357678623,0.271152198075906,0.0227963177150105,1.21338630141797
1371.3,5.2178512227483,5.30924607459632,5.32716267257203,7.77090295327007,0.271165698772368,0.0227962992394516,1.21339967444269
1371.4,5.2171440246449,5.30871256832223,5.3266165182698,7.7700413237024,0.271179189109076,0.0227962807261165,1.21341303669117
1371.5,5.21643629076021,5.30817829042414,5.32606955807379,7.769178690279,0.271192669059082,0.0227962621749435,1.21342638813774
1371.6,5.21572802284048,5.30764324226169,5.32552179333356,7.76831505519819,0.27120613859543,0.0227962435863009,1.21343972875678
1371.7,5.2150192226333,5.30710742519654,5.32497322540065,7.76745042066093,0.271219597691182,0.0227962249601301,1.21345305852265
1371.8,5.21430989188756,5.3065708405923,5.32442385562862,7.7665847888707,0.271233046319391,0.0227962062967976,1.21346637740973
1371.9,5.21360003235347,5.30603348981458,5.32387368537298,7.76571816203361,0.271246484453128,0.0227961875962478,1.21347968539242
1372,5.21288964578254,5.30549537423098,5.32332271599121,7.76485054235827,0.271259912065457,0.0227961688588455,1.21349298244509
1372.1,5.21217873392756,5.30495649521107,5.32277094884279,7.76398193205592,0.271273329129456,0.0227961500845384,1.21350626854216
1372.2,5.21146729854265,5.3044168541264,5.32221838528913,7.76311233334029,0.271286735618199,0.0227961312736892,1.21351954365804
1372.3,5.2107553413832,5.30387645235046,5.32166502669363,7.76224174842773,0.271300131504775,0.0227961124262487,1.21353280776714
1372.4,5.2100428642059,5.30333529125875,5.32111087442166,7.76137017953707,0.271313516762266,0.0227960935425782,1.21354606084389
1372.5,5.20932986876871,5.30279337222871,5.32055592984053,7.76049762888972,0.27132689136377,0.0227960746226312,1.21355930286273
1372.6,5.20861635683088,5.30225069663975,5.3200001943195,7.75962409870957,0.271340255282381,0.0227960556667674,1.21357253379811
1372.7,5.20790233015293,5.30170726587321,5.31944366922981,7.75874959122312,0.271353608491206,0.0227960366749434,1.21358575362446
1372.8,5.20718779049664,5.30116308131241,5.31888635594462,7.7578741086593,0.271366950963346,0.0227960176475171,1.21359896231626
1372.9,5.20647273962508,5.30061814434261,5.31832825583904,7.75699765324963,0.27138028267192,0.022795998584448,1.21361215984796
1373,5.20575717930255,5.30007245635102,5.31776937029014,7.75612022722807,0.27139360359004,0.0227959794860924,1.21362534619406
1373.1,5.20504111129464,5.29952601872677,5.3172097006769,7.75524183283114,0.271406913690833,0.0227959603524128,1.21363852132902
1373.2,5.20432453736817,5.29897883286096,5.31664924838026,7.75436247229781,0.271420212947421,0.0227959411837639,1.21365168522735
1373.3,5.20360745929122,5.29843090014659,5.31608801478308,7.75348214786959,0.271433501332941,0.022795921980111,1.21366483786355
1373.4,5.2028898788331,5.29788222197861,5.31552600127014,7.75260086179042,0.271446778820526,0.0227959027418071,1.21367797921212
1373.5,5.20217179776437,5.2973327997539,5.31496320922816,7.75171861630678,0.271460045383323,0.0227958834688205,1.21369110924758
1373.6,5.20145321785683,5.29678263487125,5.31439964004577,7.75083541366754,0.271473300994474,0.0227958641615027,1.21370422794446
1373.7,5.2007341408835,5.29623172873138,5.31383529511352,7.74995125612414,0.271486545627136,0.0227958448198247,1.21371733527729
1373.8,5.20001456861863,5.29568008273691,5.31327017582388,7.74906614593038,0.271499779254463,0.0227958254441364,1.21373043122062
1373.9,5.1992945028377,5.29512769829239,5.31270428357122,7.7481800853426,0.271513001849622,0.0227958060344118,1.213743515749
1374,5.19857394531739,5.29457457680427,5.31213761975183,7.74729307661952,0.271526213385776,0.0227957865909991,1.21375658883699
1374.1,5.19785289783561,5.29402071968091,5.31157018576389,7.74640512202236,0.271539413836102,0.022795767113875,1.21376965045915
1374.2,5.19713136217147,5.29346612833255,5.31100198300748,7.74551622381473,0.271552603173775,0.0227957476033864,1.21378270059007
1374.3,5.1964093401053,5.29291080417136,5.3104330128846,7.74462638426271,0.271565781371983,0.0227957280595127,1.21379573920432
