time,spir_n,snimac1_n
271.7,0,0.0677396134577973
271.8,0,0.0579600971492103
271.9,0,0.0742222475072903
272,0,0.0644427311987033
272.1,0,0.0481527982234497
272.2,0,0.061159740248196
272.3,0,0.0709114739396091
272.4,0,0.0513663326310221
272.5,0,0.0497248371557684
272.6,0,0.0643593833471815
272.7,0,0.0529522628719278
272.8,0,0.0529383715633408
272.9,0,0.0545520844214205
273,0,0.0529105889461669
273.1,0,0.0545243018042466
273.2,0,0.0528828063289929
273.3,0,0.052868915020406
273.4,0,0.052855023711819
273.5,0,0.052841132403232
273.6,0,0.0707308869279784
273.7,0,0.043047724786058
273.8,0,0.0560546668108044
273.9,0,0.0576683796688841
274,0,0.0592820925269638
274.1,0,0.0315989303850435
274.2,0,0.0559991015764565
274.3,0,0.0690060436012028
274.4,0,0.0527161106259492
274.5,0,0.0608402401506956
274.6,0,0.0510607238421086
274.7,0,0.0559296450335216
274.8,0,0.0428949203916013
274.9,0,0.0721779040830143
275,0,0.0672812002744273
275.1,0,0.0477360589658404
275.2,0,0.06888102182392
275.3,0,0.0639843180153331
275.4,0,0.0379287600400794
275.5,0,0.0574461187314924
275.6,0,0.0444113940895721
275.7,0,0.0427698986143185
275.8,0,0.0574044448057315
275.9,0,0.0557629493304779
276,0,0.0492386413552242
276.1,0,0.0655007917133039
276.2,0,0.0492108587380503
276.3,0,0.05082457159613
276.4,0,0.045927867787543
276.5,0,0.060562413978956
276.6,0,0.0686865435037024
276.7,0,0.0572794230284487
276.8,0,0.0605207400531951
276.9,0,0.0458584112446081
277,0,0.0686309782693545
277.1,0,0.0653618786274341
277.2,0,0.0425615289855138
277.3,0,0.0653340960102602
277.4,0,0.0571821838683399
277.5,0,0.0571682925597529
277.6,0,0.0669200262511662
277.7,0,0.0620233224425789
277.8,0,0.0457333894673256
277.9,0,0.0652507481587383
278,0,0.0522160235168183
278.1,0,0.0505745280415647
278.2,0,0.048933032566311
278.3,0,0.0521743495910574
278.4,0,0.0228635832824704
278.5,0,0.0716778169738834
278.6,0,0.0618983006652964
278.7,0,0.0570015968567095
278.8,0,0.0407116638814558
278.9,0,0.0586014184062022
279,0,0.0471942979309485
279.1,0,0.0439251982890282
279.2,0,0.0732081819804413
279.3,0,0.0780771031718543
279.4,0,0.069925191029934
279.5,0,0.065028487221347
279.6,0,0.0666422000794267
279.7,0,0.0487246629375064
279.8,0,0.064986813295586
279.9,0,0.0666005261536657
280,0,0.0600762181784121
280.1,0,0.0470414935364918
280.2,0,0.0502828105612381
280.3,0,0.0518965234193178
280.4,0,0.0600206529440642
280.5,0,0.0437307199688105
280.6,0,0.0583652661602236
280.7,0,0.0437029373516366
280.8,0,0.0664755043763829
280.9,0,0.0436751547344626
281,0,0.0631925134258757
281.1,0,0.051785392950622
281.2,0,0.0794407724753684
281.3,0,0.0582680270001147
281.4,0,0.0729025731915278
281.5,0,0.0728886818829408
281.6,0,0.0582263530743538
281.7,0,0.0712332950991001
281.8,0,0.0533157579571798
281.9,0,0.0646950958152595
282,0,0.0581707878400059
282.1,0,0.0597845006980856
282.2,0,0.0581430052228319
282.3,0,0.0548739055809116
282.4,0,0.0695084517723246
282.5,0,0.033687268797071
282.6,0,0.048321814988484
282.7,0,0.0597011528465637
282.8,0,0.0613148657046434
282.9,0,0.0580457660627231
283,0,0.0531490622541361
283.1,0,0.0563903792788825
283.2,0,0.0514936754702955
283.3,0,0.0596178049950418
283.4,0,0.0661143303531215
283.5,0,0.0498243973778679
283.6,0,0.0481829019026142
