t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l
423.3,0,4.4884,5.08589155648187,5.1611328125,6.17659505208333,1.78287317883261,1.78287317883261,0,3.99060420751648,1,1.84,3.58
423.4,0,4.4884,5.08169831754632,5.166015625,6.17659505208333,1.74130208516913,1.74130208516913,0,3.99060420751648,1,1.84,3.58
423.5,0,4.4884,5.07752919423384,5.17578125,6.17659505208333,1.67966088039743,1.67966088039743,0,3.99060420751648,1,1.84,3.58
423.6,0,4.4884,5.07338412355584,5.1220703125,6.17659505208333,1.87104670378183,1.87104670378183,0,3.99060420751648,1,1.84,3.58
423.7,0,4.4884,5.06926304137199,5.1416015625,6.17659505208333,1.77302934182031,1.77302934182031,0,3.99060420751648,1,1.84,3.58
423.8,0,4.4884,5.06516588241945,5.1171875,6.17659505208333,1.84923325953121,1.84923325953121,0,3.99060420751648,1,1.84,3.58
423.9,0,4.4884,5.06109258034183,5.1171875,6.17659505208333,1.82929853799009,1.82929853799009,0,3.99060420751648,1,1.84,3.58
424,0,4.4884,5.05704306771752,5.166015625,6.17659505208333,1.61386134311677,1.61386134311677,0,3.99060420751648,1,1.84,3.58
424.1,0,4.4884,5.05301727608766,5.1220703125,6.17659505208333,1.76591134758757,1.76591134758757,0,3.99060420751648,1,1.84,3.58
424.2,0,4.4884,5.04901513598363,5.126953125,6.17659505208333,1.72553782462257,1.72553782462257,0,3.99060420751648,1,1.84,3.58
424.3,0,4.4884,5.04503657695407,5.13671875,6.17659505208333,1.66510542927318,1.66510542927318,0,3.99060420751648,1,1.84,3.58
424.4,0,4.4884,5.0410815275915,5.1318359375,6.17659505208333,1.66239872970969,1.66239872970969,0,3.99060420751648,1,1.84,3.58
424.5,0,4.4884,5.03714991555849,5.126953125,6.17659505208333,1.65985072288405,1.65985072288405,0,3.99060420751648,1,1.84,3.58
424.6,0,4.4884,5.03324166761338,5.1318359375,6.17659505208333,1.6184002564427,1.6184002564427,0,3.99060420751648,1,1.84,3.58
424.7,0,4.4884,5.02935670963561,5.1220703125,6.17659505208333,1.63502132563958,1.63502132563958,0,3.99060420751648,1,1.84,3.58
424.8,0,4.4884,5.02549496665064,5.087890625,6.17659505208333,1.74980315149918,1.74980315149918,0,3.99060420751648,1,1.84,3.58
424.9,0,4.4884,5.02165636285441,5.107421875,6.17659505208333,1.65195604022979,1.65195604022979,0,3.99060420751648,1,1.84,3.58
425,0,4.4884,5.01784082163743,5.1123046875,6.17659505208333,1.61115903951169,1.61115903951169,0,3.99060420751648,1,1.84,3.58
425.1,0,4.4884,5.01404826560851,5.0927734375,6.17659505208333,1.66750134478563,1.66750134478563,0,3.99060420751648,1,1.84,3.58
425.2,0,4.4884,5.010278616618,5.087890625,6.17659505208333,1.6664432367912,1.6664432367912,0,3.99060420751648,1,1.84,3.58
425.3,0,4.4884,5.00653179578074,5.078125,6.17659505208333,1.68508561285542,1.68508561285542,0,3.99060420751648,1,1.84,3.58
425.4,0,4.4884,5.00280772349857,5.087890625,6.17659505208333,1.62611529943138,1.62611529943138,0,3.99060420751648,1,1.84,3.58
425.5,0,4.4884,4.99910631948246,5.05859375,6.17659505208333,1.72254138026185,1.72254138026185,0,3.99060420751648,1,1.84,3.58
